fecha,mes,dia_semana,hora,tipo,rango_londres,ratio_mecha_sweep,distancia_sl,resultado
2023-03-20 10:50,3,0,10,1,31.63,0.508,5.84,1
2023-03-23 09:50,3,3,9,0,9.36,0.521,4.25,0
2023-03-24 14:30,3,4,14,1,21.713,0.661,2.38,0
2023-03-30 10:15,3,3,10,1,6.537,0.134,4.96,1
2023-04-13 10:35,4,3,10,0,8.89,0.875,10.13,0
2023-04-18 09:45,4,1,9,1,6.647,0.534,6.89,1
2023-05-03 10:35,5,2,10,1,6.137,0.216,6.29,1
2023-05-08 09:45,5,0,9,1,5.51,0.174,5.74,1
2023-05-12 10:15,5,4,10,0,11.73,0.904,5.199,0
2023-05-16 09:15,5,1,9,0,5.22,0.526,4.96,1
2023-05-23 10:25,5,1,10,0,8.211,0.643,4.873,0
2023-05-24 10:35,5,2,10,1,11.36,0.179,4.74,0
2023-05-29 09:20,5,0,9,0,6.35,0.25,2.48,1
2023-06-05 10:15,6,0,10,0,7.5,0.274,5.0,0
2023-06-12 10:45,6,0,10,1,8.26,0.124,3.66,1
2023-06-15 10:50,6,3,10,0,8.907,0.163,6.323,0
2023-06-22 09:30,6,3,9,1,6.611,0.662,3.27,1
2023-06-23 10:10,6,4,10,0,7.09,0.259,3.219,1
2023-06-26 10:35,6,0,10,1,4.49,0.934,2.7,0
2023-06-30 10:35,6,4,10,0,6.95,0.265,4.71,0
2023-07-04 13:25,7,1,13,1,4.88,0.652,1.05,1
2023-07-05 13:30,7,2,13,1,7.357,0.036,1.2,0
2023-07-06 10:45,7,3,10,1,10.967,0.449,4.64,1
2023-07-12 10:25,7,2,10,0,2.75,0.575,3.087,0
2023-07-14 10:30,7,4,10,1,5.66,0.854,4.98,0
2023-07-21 10:25,7,4,10,1,10.08,0.109,2.96,0
2023-07-24 14:35,7,0,14,1,7.06,0.194,2.61,1
2023-07-26 10:40,7,2,10,1,4.65,0.797,2.65,1
2023-07-31 09:20,7,0,9,0,10.28,0.741,1.6,0
